
hf_8_1_7.qasm	8	104	29	0.13967680931091309	0j	
hf_10_0_9.qasm	10	154	33	0.2028210163116455	0j	
hf_12_0_5.qasm	12	228	45	1.2580430507659912	0j	
hf_12_1_3.qasm	12	228	45	0.46440744400024414	0j	
hf_10_1_7.qasm	10	154	33	0.20003795623779297	0j	
hf_10_1_3.qasm	10	154	33	0.19251704216003418	0j	
hf_12_2_1.qasm	12	228	45	0.41999197006225586	0j	
hf_10_2_5.qasm	10	154	33	0.1901845932006836	0j	
hf_8_1_3.qasm	8	104	29	0.14287734031677246	0j	
hf_8_0_9.qasm	8	104	29	0.13481497764587402	0j	
hf_10_0_5.qasm	10	154	33	0.21472597122192383	0j	
hf_6_0_9.qasm	6	54	17	0.09338927268981934	0j	
hf_6_2_1.qasm	6	54	17	0.09335207939147949	0j	
hf_6_1_7.qasm	6	54	17	0.08429312705993652	0j	
hf_8_0_5.qasm	8	104	29	0.13299226760864258	0j	
hf_8_2_5.qasm	8	104	29	0.13585996627807617	0j	
hf_12_0_9.qasm	12	228	45	0.6726031303405762	0j	
hf_12_2_5.qasm	12	228	45	0.40155887603759766	0j	
hf_10_2_1.qasm	10	154	33	0.20206332206726074	0j	
hf_12_1_7.qasm	12	228	45	0.4089055061340332	0j	
hf_8_2_1.qasm	8	104	29	0.13863325119018555	0j	
hf_6_1_3.qasm	6	54	17	0.08293294906616211	0j	
hf_6_0_5.qasm	6	54	17	0.08329486846923828	0j	
hf_6_2_5.qasm	6	54	17	0.08082008361816406	0j	

bv_n4.qasm	4	13	7	0.06427145004272461	0j	
bv_n4.qasm	4	13	7	
bv_n4.qasm	4	13	7	0.05927419662475586	
bv_n100.qasm	100	397	199	0.5986607074737549	
bv_n100.qasm	100	397	199	0.6323778629302979	
inst_4x4_10_0.qasm	16	82	11	0.10254883766174316	
inst_4x4_10_0.qasm	16	82	11	1.9087004661560059	
inst_4x4_10_0.qasm	16	82	11	0.7763519287109375	
inst_4x4_10_0.qasm	16	82	11	0.6402113437652588	
inst_4x4_10_0.qasm	16	82	11	0.6607577800750732	
inst_4x4_20_0.qasm	16	145	21	4.465849161148071	
inst_4x4_30_0.qasm	16	217	31	9.831921815872192	
inst_4x4_40_0.qasm	16	280	41	15.499770164489746	
inst_4x4_80_0.qasm	16	550	81	36.694127798080444	
inst_4x4_10_0.qasm	16	82	11	1.3006131649017334	
inst_4x5_20_0.qasm	20	187	21	1839.9040787220001	
inst_4x4_40_0.qasm	16	280	41	23.39631962776184	
inst_4x5_10_0.qasm	20	101	11	242.05226945877075	
inst_4x5_60_0.qasm	20	532	61	Timed out!

inst_4x4_20_0.qasm	16	145	21	4.7513957023620605	
inst_4x5_40_0.qasm	20	358	41	Timed out!

inst_4x5_80_0.qasm	20	703	81	Timed out!

inst_4x4_10_0.qasm	16	82	11	0.7549300193786621	
inst_4x5_70_0.qasm	20	620	71	Timed out!

inst_4x4_50_0.qasm	16	352	51	24.773812532424927	
inst_4x4_30_0.qasm	16	217	31	13.86941409111023	
inst_4x5_30_0.qasm	20	275	31	Timed out!

inst_4x5_50_0.qasm	20	446	51	Timed out!

inst_4x4_60_0.qasm	16	415	61	52.32503008842468	
inst_4x5_20_0.qasm	20	187	21	2054.130351305008	
inst_4x4_70_0.qasm	16	487	71	40.588303565979004	
inst_4x4_80_0.qasm	16	550	81	65.79211759567261	
qaoa_90.qasm	90	1539	25	1.6777970790863037	
qaoa_100.qasm	100	1720	25	1.8072679042816162	
qaoa_64.qasm	64	1072	25	1.1130576133728027	
qaoa_80.qasm	80	1358	25	1.386603593826294	
qaoa_81.qasm	81	1377	25	1.2979578971862793	
qaoa_72.qasm	72	1215	25	1.1025898456573486	
